,Nameabv,Name_long,Date,Title,Sen_len,Dialogue,Compound,neg,neu,pos,Textblob_Polarity,Textblob_Subjectivity,difference
12541,GFo,Gerald Ford,08-Oct-74,"""Whip Inflation Now"" Speech",215,"I will not take your time today with the discussion of the origins of inflation and its bad effect on the United States, but I do know where we want to be in 1976Ñon the 200th birthday of a United States of America that has not lost its way, nor its will, nor its sense of national purpose.",0.7386,0.036,0.81,0.154,-0.6999999999999998,0.6666666666666666,1.4385999999999999
9442,RRe,Ronald Reagan,23-Aug-84,Republican National Convention,293,"There's a sign over the entrance to Fairchild Air Force Base in Washington State, and that sign says it all: ""Peace is our profession.""",0.5423,0.0,0.863,0.137,-0.8,1.0,1.3423
7922,RRe,Ronald Reagan,16-Dec-88,Speech on Foreign Policy,236,All of us know the terrible importance of maintaining the progress we've made in the decade of the eighties.,0.296,0.127,0.656,0.217,-1.0,1.0,1.296
2609,DTr,Donald Trump,20-Jun-20,"Campaign Rally in Tulsa, Oklahoma",498,We saved hundreds of thousands of lives and all we do is get hit on like weÕre terrible.,0.296,0.132,0.641,0.226,-1.0,1.0,1.296
7874,RRe,Ronald Reagan,16-Dec-88,Speech on Foreign Policy,236,"[Laughter]

Now, all of this was hardly encouraging for the growth of freedom and the path to peace.",0.9247,0.0,0.511,0.489,-0.2916666666666667,0.5416666666666666,1.2163666666666666
14700,LBJ,Lyndon B. Johnson,31-Mar-68, Remarks on Decision not to Seek Re-Election,191,"But if peace does not come now through negotiations, it will come when Hanoi understands that our common resolve is unshakable, and our common strength is invincible.",0.91,0.0,0.648,0.352,-0.3,0.5,1.21
6036,GWB,George W. Bush,23-Jan-07,State of the Union Address,285,The evil that inspired and rejoiced in 9/11 is still at work in the world.,0.2023,0.195,0.531,0.274,-1.0,1.0,1.2023
5903,GWB,George W. Bush,28-Jan-08,State of the Union Address,305,"The strengthÑthe secret of our strength, the miracle of America is that our greatness lies not in our government, but in the spirit and determination of our people.",0.802,0.054,0.657,0.289,-0.4,0.7,1.202
4850,BKO,Barack Obama,04-Dec-13,Speech on Economic Mobility,281,"And if, in fact, the majority of Americans agree that our number-one priority is to restore opportunity and broad-based growth for all Americans, the question is why has Washington consistently failed to act?",0.7003,0.08,0.676,0.244,-0.5,0.3,1.2003
12092,GFo,Gerald Ford,19-Jan-76,State of the Union Address,274,"For every dollar saved in cutting the growth in the federal budget, we can have an added dollar of federal tax reduction.",0.5994,0.058,0.734,0.208,-0.6,0.9,1.1994
