,Nameabv,Name_long,Date,Frame No.,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8
0,Joe Biden,JBi,07-Feb-23,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Joe Biden,JBi,07-Feb-23,2,0.0,0.0,0.09975356525954868,0.0,0.0,0.2803709425459515,0.0,0.08501502708804157,0.0
2,Joe Biden,JBi,07-Feb-23,3,0.0,0.0,0.0,0.04120498480207374,0.0,0.0,0.0,0.0,0.0
3,Joe Biden,JBi,07-Feb-23,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Joe Biden,JBi,07-Feb-23,5,0.0,0.0,0.0,0.0,0.0,0.12328400603122741,0.0,0.0,0.0
5,Joe Biden,JBi,07-Feb-23,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Joe Biden,JBi,07-Feb-23,7,0.0,0.0,0.0,0.1433109066602848,0.0,0.3175658563944152,0.0,0.0,0.11321934059445043
7,Joe Biden,JBi,07-Feb-23,8,0.0,0.0,0.0,0.0,0.0036890552649908315,0.10920939920015246,0.0,0.0,0.03574526616215595
8,Joe Biden,JBi,07-Feb-23,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Joe Biden,JBi,07-Feb-23,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Joe Biden,JBi,07-Feb-23,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Joe Biden,JBi,07-Feb-23,12,0.0,0.0,0.36494008014390755,0.3006344827928138,0.1935339787467915,0.0,0.0,0.0,0.0
12,Joe Biden,JBi,07-Feb-23,13,0.0,0.0,0.0,0.09377201019649203,0.0,0.0,0.0,0.17222719964381433,0.0
13,Joe Biden,JBi,07-Feb-23,14,0.0,0.12898935845487453,0.0,0.20603141295777372,0.17395824290525252,0.19675681932978278,0.0,0.0,0.0
14,Joe Biden,JBi,07-Feb-23,15,0.0,0.0,0.0,0.0,0.0,0.024236460451458386,0.0,0.0,0.0
15,Joe Biden,JBi,07-Feb-23,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Joe Biden,JBi,07-Feb-23,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Joe Biden,JBi,07-Feb-23,18,0.0,0.0,0.2855136077954985,0.12606752120242032,0.024862993355797808,0.06674128522106768,0.03058314408687368,0.2499676813471598,0.0
18,Joe Biden,JBi,07-Feb-23,19,0.0,0.0,0.0,0.0,0.0,0.0,0.009099514719206642,0.0,0.07450290905451418
19,Joe Biden,JBi,07-Feb-23,20,0.0,0.0,0.0,0.0207765376031733,0.0,0.0,0.0,0.0,0.0
20,Joe Biden,JBi,07-Feb-23,21,0.0,0.0,0.14507381380877443,0.0,0.0,0.0,0.0,0.0,0.0
21,Joe Biden,JBi,07-Feb-23,22,0.0,0.0,0.09705950376860933,0.02746111156304612,0.0,0.0,0.0007393971171746616,0.057206167394247526,0.0
22,Joe Biden,JBi,07-Feb-23,23,0.18613040985756107,0.0,0.0,0.1546223663610547,0.0,0.0,0.0,0.0,0.05600008041822083
23,Joe Biden,JBi,07-Feb-23,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Joe Biden,JBi,07-Feb-23,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Joe Biden,JBi,07-Feb-23,26,0.0,0.0,0.0,0.0,0.0,0.009687753963857099,0.0,0.0,0.03318435705177333
26,Joe Biden,JBi,07-Feb-23,27,0.0,0.0,0.05162583817395269,0.002059171683111094,0.0,0.0074330849684306755,0.018249390131739845,0.0,0.07030527837332953
27,Joe Biden,JBi,07-Feb-23,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Joe Biden,JBi,01-Mar-22,1,0.0,0.0,0.10748597357283382,0.005429849303330181,0.0,0.0,0.0,0.0,0.0
29,Joe Biden,JBi,01-Mar-22,2,0.0030096463498948123,0.0,0.0,0.0,0.0,0.0,0.04456437311707284,0.0,0.0
30,Joe Biden,JBi,01-Mar-22,3,0.0,0.08459000025527583,0.05651375779727688,0.0,0.0,0.09467166424858037,0.0,0.0,0.0
31,Joe Biden,JBi,01-Mar-22,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Joe Biden,JBi,01-Mar-22,5,0.0,0.0,0.0,0.11081697671303203,0.0,0.04795797942664973,0.0,0.0,0.0
33,Joe Biden,JBi,01-Mar-22,6,0.0,0.0,0.0,0.017690969237410092,0.13638518634805813,0.0,0.08928689765843617,0.0,0.0
34,Joe Biden,JBi,01-Mar-22,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Joe Biden,JBi,01-Mar-22,8,0.06776598276348247,0.0,0.0031458225725214117,0.0,0.0,0.21572868097557674,0.0,0.0,0.0
36,Joe Biden,JBi,01-Mar-22,9,0.0,0.0,0.0,0.0,0.004245144152891345,0.21740217218151248,0.02844576181461042,0.27460399568173943,0.36706766659884527
37,Joe Biden,JBi,01-Mar-22,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Joe Biden,JBi,01-Mar-22,11,0.0,0.0,0.0,0.0,0.017436784160098473,0.13229912293356844,0.0,0.0,0.0
39,Joe Biden,JBi,01-Mar-22,12,0.09913008377217553,0.18314098047547772,0.0,0.0,0.0,0.0,0.0,0.10395907040490512,0.0
40,Joe Biden,JBi,01-Mar-22,13,0.0,0.0,0.0,0.0,0.0,0.2773678311994617,0.0,0.0,0.0
41,Joe Biden,JBi,01-Mar-22,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Joe Biden,JBi,01-Mar-22,15,0.0,0.0,0.0,0.609239048601722,0.02012770840839509,0.0,0.0,0.0,0.0
43,Joe Biden,JBi,01-Mar-22,16,0.0,0.0,0.07318044888375708,0.031858819442968894,0.0,0.0,0.0,0.0,0.0
44,Joe Biden,JBi,01-Mar-22,17,0.0,0.0,0.0,0.0,0.04268182764893172,0.28032421508959593,0.0,0.0,0.02838564199128296
45,Joe Biden,JBi,01-Mar-22,18,0.0,0.0,0.23262238634402893,0.0,0.0,0.0,0.03220703529807928,0.0,0.0
