,Nameabv,Name_long,Date,Frame No.,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8
0,Joe Biden,JBi,07-Feb-23,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Joe Biden,JBi,07-Feb-23,2,0.0,0.0,0.0,0.21343093918958822,0.0,0.0,0.0,0.02522292714891411,0.0
2,Joe Biden,JBi,07-Feb-23,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12371391154981992
3,Joe Biden,JBi,07-Feb-23,4,0.0,0.0,0.0,0.0,0.0,0.0,0.062471797189763395,0.0,0.0
4,Joe Biden,JBi,07-Feb-23,5,0.0,0.0,0.0,0.0,0.0,0.0,0.03334275288955227,0.0,0.0
5,Joe Biden,JBi,07-Feb-23,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Joe Biden,JBi,07-Feb-23,7,0.0,0.0,0.0,0.04261892516780433,0.0,0.0,0.0,0.0,0.0
7,Joe Biden,JBi,07-Feb-23,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Joe Biden,JBi,07-Feb-23,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Joe Biden,JBi,07-Feb-23,10,0.0,0.0,0.0,0.0,0.0,0.0,0.09636128986076886,0.0,0.0
10,Joe Biden,JBi,07-Feb-23,11,0.0,0.0,0.04712339209720806,0.0,0.0,0.0,0.0,0.0,0.0
11,Joe Biden,JBi,07-Feb-23,12,0.0,0.0,0.059329440181464216,0.0,0.0,0.0,0.0870800026307536,0.05160474174692395,0.0
12,Joe Biden,JBi,07-Feb-23,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07464677573168751,0.0
13,Joe Biden,JBi,07-Feb-23,14,0.0,0.047853519718340315,0.0,0.0,0.0,0.42357439227984817,0.0,0.0,0.009036785373087608
14,Joe Biden,JBi,07-Feb-23,15,0.0,0.09572797925917309,0.029799834186768598,0.0,0.0,0.21288964741569322,0.0,0.0,0.0025737755520708616
15,Joe Biden,JBi,07-Feb-23,16,0.0,0.0,0.0,0.0,0.00946636940114648,0.0,0.0,0.0,0.0
16,Joe Biden,JBi,07-Feb-23,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Joe Biden,JBi,07-Feb-23,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06448035265165644
18,Joe Biden,JBi,07-Feb-23,19,0.0,0.0,0.0,0.0,0.04290957370629056,0.019971069386569507,0.0,0.0,0.0
19,Joe Biden,JBi,07-Feb-23,20,0.0,0.0,0.1712031032731915,0.11065080214690531,0.08511531542039624,0.0,0.0,0.0,0.0
20,Joe Biden,JBi,07-Feb-23,21,0.0,0.0,0.015883765913133563,0.0,0.0,0.0,0.052184182936995366,0.00300897738639741,0.0
21,Joe Biden,JBi,07-Feb-23,22,0.0,0.0,0.1897867440719731,0.2877042934484607,0.0,0.0,0.0,0.3110789312563215,0.0
22,Joe Biden,JBi,07-Feb-23,23,0.0,0.0,0.0,0.052967045603669966,0.0,0.0,0.0,0.0,0.0
23,Joe Biden,JBi,07-Feb-23,24,0.0,0.0,0.13210527235706615,0.0,0.0,0.17046388333432433,0.05941342739991626,0.0723457014086038,0.0
24,Joe Biden,JBi,07-Feb-23,25,0.0,0.0,0.0,0.0,0.0,0.0,0.1021161953201628,0.1349501009602514,0.0
25,Joe Biden,JBi,07-Feb-23,26,0.0,0.24817952883218253,0.0,0.3273794528118737,0.09752314617256064,0.0,0.0,0.1902469301144874,0.0
26,Joe Biden,JBi,07-Feb-23,27,0.04553523758759992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Joe Biden,JBi,07-Feb-23,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Joe Biden,JBi,01-Mar-22,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1542841613655735,0.0,0.0
29,Joe Biden,JBi,01-Mar-22,2,0.0,0.0,0.08848388999429158,0.0,0.0,0.0,0.040599400587185475,0.061589939453673304,0.0945530656840386
30,Joe Biden,JBi,01-Mar-22,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Joe Biden,JBi,01-Mar-22,4,0.0,0.0,0.0,0.0008947003686568256,0.0,0.0,0.0,0.13910112129221663,0.0
32,Joe Biden,JBi,01-Mar-22,5,0.0,0.0,0.0,0.010109962088603486,0.0,0.0,0.0,0.0,0.0
33,Joe Biden,JBi,01-Mar-22,6,0.0,0.0,0.033410477368353314,0.0,0.0353032722849346,0.0,0.03176523927536909,0.0,0.0
34,Joe Biden,JBi,01-Mar-22,7,0.0,0.0,0.0,0.0,0.0,0.0,0.1600703107128903,0.0,0.0
35,Joe Biden,JBi,01-Mar-22,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Joe Biden,JBi,01-Mar-22,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07653569968882071,0.0
37,Joe Biden,JBi,01-Mar-22,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Joe Biden,JBi,01-Mar-22,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Joe Biden,JBi,01-Mar-22,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19612863897388338,0.0
40,Joe Biden,JBi,01-Mar-22,13,0.0,0.0,0.0,0.0,0.0,0.012611463625426617,0.0,0.0,0.0
41,Joe Biden,JBi,01-Mar-22,14,0.027315711104999002,0.014975872246340866,0.0,0.0,0.0,0.0,0.0,0.13096927948120324,0.0
42,Joe Biden,JBi,01-Mar-22,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Joe Biden,JBi,01-Mar-22,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17692302951897615
44,Joe Biden,JBi,01-Mar-22,17,0.0,0.0,0.0,0.0,0.0,0.06450401684682472,0.4926052995709037,0.0809829708930887,0.0
45,Joe Biden,JBi,01-Mar-22,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Joe Biden,JBi,01-Mar-22,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Joe Biden,JBi,01-Mar-22,20,0.0,0.0192565742765122,0.0,0.0,0.0,0.0,0.015142011555993262,0.0,0.0
48,Joe Biden,JBi,01-Mar-22,21,0.0,0.141554534167257,0.0,0.1139985026949123,0.0,0.0,0.041637494214446874,0.0,0.0
49,Joe Biden,JBi,01-Mar-22,22,0.0,0.0786059189502078,0.02289910736775666,0.0,0.0,0.0,0.116827208148723,0.0,0.0
50,Joe Biden,JBi,01-Mar-22,23,0.04451157133950939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10289559188981001
51,Joe Biden,JBi,01-Mar-22,24,0.0,0.0,0.0,0.026887849843609063,0.0,0.0,0.0,0.2307828757878176,0.0
52,Joe Biden,JBi,01-Mar-22,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Joe Biden,JBi,06-Jan-22,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Joe Biden,JBi,06-Jan-22,2,0.0,0.10718303928609757,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Joe Biden,JBi,06-Jan-22,3,0.0,0.0,0.0,0.0,0.0,0.0,0.13760473034556414,0.037406477775128066,0.0
56,Joe Biden,JBi,06-Jan-22,4,0.09068820809488543,0.0,0.0,0.0,0.0,0.0,0.0,0.053772219399307014,0.0
57,Joe Biden,JBi,06-Jan-22,5,0.0,0.0,0.0,0.0,0.0,0.0,0.030669990162718874,0.0,0.0
58,Joe Biden,JBi,06-Jan-22,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4887888274365443,0.015172761431635068
59,Joe Biden,JBi,06-Jan-22,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Joe Biden,JBi,06-Jan-22,8,0.0,0.0,0.0940635936407459,0.008366869697480989,0.0,0.0,0.0,0.0,0.0
61,Joe Biden,JBi,06-Jan-22,9,0.0,0.0,0.034915647711769915,0.06022673484294411,0.0,0.0,0.0,0.0,0.0
62,Joe Biden,JBi,06-Jan-22,10,0.0,0.0,0.0,0.0,0.0991228332478572,0.0,0.0,0.2491012426376839,0.0
63,Joe Biden,JBi,06-Jan-22,11,0.0,0.10656960431661333,0.0,0.05078216033719962,0.0,0.0027285703498255154,0.3182477357865578,0.0,0.21525989923143068
64,Joe Biden,JBi,06-Jan-22,12,0.0,0.004375390522638023,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Joe Biden,JBi,15-Nov-21,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003770584360060336,0.11029103693374825
66,Joe Biden,JBi,15-Nov-21,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Joe Biden,JBi,15-Nov-21,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17738213967030358,0.1923427213888776
68,Joe Biden,JBi,15-Nov-21,4,0.0,0.0,0.0,0.0,0.0,0.0,0.02365860887452101,0.0,0.0
69,Joe Biden,JBi,15-Nov-21,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,Joe Biden,JBi,15-Nov-21,6,0.0,0.0,0.0,0.0,0.0,0.028546121116456408,0.0,0.0,0.0
71,Joe Biden,JBi,15-Nov-21,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Joe Biden,JBi,15-Nov-21,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Joe Biden,JBi,15-Nov-21,9,0.0,0.0888481925147227,0.0,0.0,0.0,0.04269002742973099,0.0,0.13510079930260327,0.0834640808293648
74,Joe Biden,JBi,15-Nov-21,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Joe Biden,JBi,15-Nov-21,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Joe Biden,JBi,15-Nov-21,12,0.0,0.0,0.109830447180853,0.0,0.0,0.18795012972349323,0.0,0.0,0.0
77,Joe Biden,JBi,15-Nov-21,13,0.0,0.0,0.14667254210206665,0.0,0.0,0.0,0.0,0.0,0.0
78,Joe Biden,JBi,15-Nov-21,14,0.0,0.0,0.0,0.0,0.0,0.10993351098518406,0.0,0.0,0.0
79,Joe Biden,JBi,15-Nov-21,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Joe Biden,JBi,01-Jun-21,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Joe Biden,JBi,01-Jun-21,2,0.10796914977973893,0.0,0.0,0.0,0.0,0.0,0.006497490301949904,0.0,0.0
82,Joe Biden,JBi,01-Jun-21,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Joe Biden,JBi,01-Jun-21,4,0.0,0.0,0.0,0.05076001841218181,0.05129006755102061,0.05896922342108957,0.0,0.0,0.0
84,Joe Biden,JBi,01-Jun-21,5,0.0,0.07169021682966445,0.0,0.0,0.0,0.16800155318468818,0.0,0.0,0.0
85,Joe Biden,JBi,01-Jun-21,6,0.0,0.10322727693285005,0.0,0.0,0.0,0.0,0.0,0.006998988013784069,0.006768744588110748
86,Joe Biden,JBi,01-Jun-21,7,0.008191573060143842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Joe Biden,JBi,01-Jun-21,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11241628801996278,0.01257658390420921
