,Unnamed: 0,Nameabv,Name_long,Date,Frame No.,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,maxbin,Date_Frame,FNO,Date1
0,0,Joe Biden,JBi,07-Feb-23,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,07-Feb-23_Frame_1,1,07-Feb-23
1,1,Joe Biden,JBi,07-Feb-23,2,0.0,0.0,0.0,0.043546898789466826,0.0,0.0,0.0,0.0,0.0,3,07-Feb-23_Frame_2,2,07-Feb-23
2,2,Joe Biden,JBi,07-Feb-23,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,07-Feb-23_Frame_3,3,07-Feb-23
3,3,Joe Biden,JBi,07-Feb-23,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,07-Feb-23_Frame_4,4,07-Feb-23
4,4,Joe Biden,JBi,07-Feb-23,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,07-Feb-23_Frame_5,5,07-Feb-23
5,5,Joe Biden,JBi,07-Feb-23,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,07-Feb-23_Frame_6,6,07-Feb-23
6,6,Joe Biden,JBi,07-Feb-23,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,07-Feb-23_Frame_7,7,07-Feb-23
7,7,Joe Biden,JBi,07-Feb-23,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,07-Feb-23_Frame_8,8,07-Feb-23
8,8,Joe Biden,JBi,07-Feb-23,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,07-Feb-23_Frame_9,9,07-Feb-23
9,9,Joe Biden,JBi,07-Feb-23,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,07-Feb-23_Frame_10,10,07-Feb-23
10,10,Joe Biden,JBi,07-Feb-23,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,07-Feb-23_Frame_11,11,07-Feb-23
11,11,Joe Biden,JBi,07-Feb-23,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,07-Feb-23_Frame_12,12,07-Feb-23
12,12,Joe Biden,JBi,07-Feb-23,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,07-Feb-23_Frame_13,13,07-Feb-23
13,13,Joe Biden,JBi,07-Feb-23,14,0.0,0.0,0.0,0.0,0.0,0.2536903518797268,0.0,0.0,0.0,5,07-Feb-23_Frame_14,14,07-Feb-23
14,14,Joe Biden,JBi,07-Feb-23,15,0.0,0.0,0.0,0.0,0.0,0.043005607015571816,0.0,0.0,0.0,5,07-Feb-23_Frame_15,15,07-Feb-23
15,15,Joe Biden,JBi,07-Feb-23,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,07-Feb-23_Frame_16,16,07-Feb-23
16,16,Joe Biden,JBi,07-Feb-23,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,07-Feb-23_Frame_17,17,07-Feb-23
