,Nameabv,Name_long,Date,Frame No.,Sen1,Sen2,Sen3,Sen4,Sen5,Sen6,Sen7,Sen8,Sen9,Sen10,Sen11,Sen12,Sen13,Sen14,Sen15,Sen16
0,JBi,Joe Biden,07-Feb-23,1,0.0,0.0,0.0,0.0,0.0,0.7906,0.0,0.0,0.0,0.5423,0.5994,0.5994,0.802,0.4215,0.0,-0.2584
1,JBi,Joe Biden,07-Feb-23,2,0.0,-0.3612,0.0,0.0,0.6124,0.0,-0.29600000000000004,-0.4767,0.0,0.7845,0.0,0.0,-0.5267,0.1027,0.1779,0.0
2,JBi,Joe Biden,07-Feb-23,3,0.6597,0.0,0.4576,0.0,0.6705,0.2263,0.3818,-0.8225,0.25,0.29600000000000004,0.0,0.0,0.0,0.0,0.0,0.0
3,JBi,Joe Biden,07-Feb-23,4,0.0,-0.3182,0.34,0.0,0.5719,-0.1511,0.3818,0.2732,0.0,0.4019,0.4767,0.0,0.0,-0.6124,-0.6124,0.5574
4,JBi,Joe Biden,07-Feb-23,5,0.0,0.0,0.6249,-0.6705,0.4404,0.0,0.0,0.0,-0.4404,0.0,0.4404,0.3818,0.34,0.0,0.0,0.0
5,JBi,Joe Biden,07-Feb-23,6,-0.3182,0.0,0.0,0.0,0.0,0.0,0.0,0.3182,0.25,0.2732,0.0,0.4019,0.2732,0.0,0.0,0.0
6,JBi,Joe Biden,07-Feb-23,7,0.3818,0.0,0.0,0.0,0.4019,0.7964,0.0,0.0,0.0,0.4019,0.0,0.0,0.0,0.0,0.0,0.8271
7,JBi,Joe Biden,07-Feb-23,8,-0.4215,0.3612,0.0,0.0,0.4019,0.3612,0.0,-0.4767,0.2263,0.0,0.0,0.0,0.4767,0.0,0.34,0.0
8,JBi,Joe Biden,07-Feb-23,9,-0.25,0.3182,-0.29600000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2263,0.3612,0.0,0.0,0.0,0.0
9,JBi,Joe Biden,07-Feb-23,10,-0.29600000000000004,0.34,0.0,-0.8271,-0.1027,0.0,0.0,0.872,-0.1027,0.0,0.3818,0.0,0.0,0.4404,0.0,0.0
10,JBi,Joe Biden,07-Feb-23,11,0.4939,0.0,0.0,-0.4404,-0.1027,0.34,0.4939,-0.5859,0.0772,-0.5267,-0.5574,0.4404,0.4939,0.4404,0.4588,0.3182
11,JBi,Joe Biden,07-Feb-23,12,-0.4601,0.6124,-0.6486,-0.3818,0.0,0.0,0.5859,0.0,0.7845,0.3182,0.0,-0.2263,-0.5267,-0.1779,0.5267,0.0
12,JBi,Joe Biden,07-Feb-23,13,0.0,0.7096,0.0,0.4767,-0.1531,0.4404,-0.2411,-0.1027,0.0,0.0,0.3818,-0.1027,0.0,0.0,0.0,0.0
13,JBi,Joe Biden,07-Feb-23,14,0.2668,0.0,-0.5859,0.4404,-0.4588,-0.4588,0.6041,0.743,0.0,0.5106,0.4404,0.3025,-0.1779,0.3182,-0.7579,-0.4019
